mibig_accession,compounds,accession
BGC0000527,mersacidin,AJ250862.2
BGC0000528,michiganin A,AM711867.1
BGC0000529,microbisporicin A2,HM536998.1
BGC0000530,mutacin B-Ny266,AHSM01000014.1
BGC0000531,mutacin I,AF238860.1
BGC0000532,mutacin II,U40620.1
BGC0000533,mutacin III,AF154675.1
BGC0000534,mutacin K8,EF060238.1
BGC0000535,nisin A,HM219853.1
BGC0000536,nisin Q,AB362350.1
BGC0000537,nisin U,DQ146939.1
BGC0000538,nisin Z,Z18947.1
BGC0000539,nukacin ISK-1,AB121757.3
BGC0000540,paenibacillin,JQ728481.1
BGC0000541,paenicidin A,JX679672.1
BGC0000542,paenicidin B,KF111343.1
BGC0000543,pep5,Z49865.1
BGC0000544,planosporicin,HF570921.1
BGC0000545,ruminococcin A,AJ276653.2
BGC0000546,SAL-2242,NZ_DS999645.1
BGC0000547,salivaricin 9,GQ857551.1
BGC0000548,salivaricin A,AY005472.1
BGC0000549,salivaricin D,JN564797.1
BGC0000550,salivaricin G32,JN831266.1
BGC0000551,SapB,AL645882.2
BGC0000552,SmbA|SmbB,AB179778.1
BGC0000553,SRO15-2212,NZ_DS999644.1
BGC0000554,SRO15-3108,NZ_DS999644.1
BGC0000555,staphylococcin C55 α|staphylococcin C55 β,AP003088.1
BGC0000556,streptin,AB030831.1
BGC0000557,streptococcin A-FF22,AF026542.1
BGC0000558,sublancin 168,AF014938.1
BGC0000559,subtilin,U09819.1
BGC0000560,subtilomycin,JX912247.1
BGC0000561,thermophilin 1277,AB434921.1
BGC0000562,variacin,X93303.1
BGC0000563,venezuelin,HQ328852.1
BGC0000564,clostridiolysin S,AM412317.1
BGC0000565,goadsporin,AB205012.1
BGC0000566,streptolysin S,AE004092.2
BGC0000567,trifolitoxin,L06719.1
BGC0000568,microcin B17,FM877811.1
BGC0000569,plantazolicin,FN668567.1
BGC0000570,astexin-1,CP002395.1
BGC0000571,burhizin,FR687359.1
BGC0000572,capistruin,CP004117.1
BGC0000573,caulonodin I|caulonodin II,CP000928.1
BGC0000574,caulosegnin I|caulosegnin II|caulosegnin III,CP002008.1
BGC0000575,lariatin,AB593691.1
BGC0000576,rubrivinodin,AP012320.1
BGC0000577,sphingonodin II,AP010805.1
BGC0000578,SRO15-2005,NZ_DS999644.1
BGC0000579,SSV-2083,NZ_CM000951.1
BGC0000580,xanthomonin I|xanthomonin II,AEQX01000392.1
BGC0000581,microcin J25,AF061787.1
BGC0000582,cypemycin,HQ148718.1
BGC0000583,grisemycin,AP009493.1
BGC0000584,colicin V,AJ223631.1
BGC0000585,microcin C7,X57583.1
BGC0000586,microcin E492,AF063590.3
BGC0000587,microcin H47,AJ009631.3
BGC0000588,microcin L,AY237108.2
BGC0000589,microcin M,AJ586887.1
BGC0000590,microcin N,FJ895580.1
BGC0000591,marinostatin,AB011418.1
BGC0000592,microviridin B,AM943877.1
BGC0000593,microviridin J,AM943878.1
BGC0000594,microviridin K,EU438895.1
BGC0000595,SCO-2138,NC_003888.3
BGC0000596,SLI-2138,NZ_GG657756.1
BGC0000597,SWA-2138,NZ_GG753626.1
BGC0000598,polytheonamide A|polytheonamide B,JX456532.1
BGC0000599,thuricin CD α|thuricin CD β,HQ446454.1
BGC0000600,thurincin H,FJ977580.1
BGC0000601,sporulation killing factor,AL009126.3
BGC0000602,subtilosin A,AJ430547.1
BGC0000603,cyclothiazomycin,FJ472825.1
BGC0000604,GE2270A,FJ461359.1
BGC0000605,GE37468,JN052143.1
BGC0000606,lactazole,AB820694.1
BGC0000607,micrococcin P1,KM613043.1
BGC0000608,nocathiacin,HM236314.1
BGC0000609,nocathiacin,GU564398.1
BGC0000610,nosiheptide,FJ438820.1
BGC0000611,siomycin A,FJ436355.1
BGC0000612,thiocillin I,AE016877.1
BGC0000613,thiomuracin A,FJ461360.1
BGC0000614,thiostrepton,FJ652572.1
BGC0000615,TP-1161,HM467197.1
BGC0000616,amylocyclicin,CP000560.1
BGC0000617,coagulin,AF300457.1
BGC0000618,enterocin A,CP003583.1
BGC0000619,gassericin T,AB710328.1
BGC0000620,lacticin Q,AB712393.1
BGC0000621,linaclotide,M18346.1
BGC0000622,megacin,EU014074.1
BGC0000623,plantaricin W α|plantaricin W β,AY007251.1
BGC0000624,salivaricin CRL1328 α peptide|salivaricin CRL1328 β peptide,EF592482.1
BGC0000625,thioviridamide,AB819757.1
BGC0000626,thuricin,KJ504104.1
BGC0000627,ustiloxin B,EQ963480.1
BGC0000628,lactocillin,ACGO02000004.1
BGC0000629,aflatrem,AY559849.2
BGC0000630,"(2R,3S,3'S)-2-hydroxyastaxanthin",AY957386.1
BGC0000631,botcinin H|botcinin I|botcinin J|cinbotolide D|botcinin K,CP009816.1
BGC0000632,brasilicardin A,KV411304.1
BGC0000633,carotenoid,AB070934.1
BGC0000634,carotenoid,AB181388.1
BGC0000635,carotenoid,AB206672.1
BGC0000636,carotenoid,AF139916.1
BGC0000637,carotenoid,AF159510.1
BGC0000638,carotenoid,D90087.2
BGC0000639,carotenoid,DQ090833.1
BGC0000640,carotenoid,DQ090834.1
BGC0000641,carotenoid,DQ090835.1
BGC0000642,carotenoid,DQ090836.1
BGC0000643,carotenoid,DQ309446.1
BGC0000644,carotenoid,DQ369754.1
BGC0000645,carotenoid,FJ040212.1
BGC0000646,β-carotein,FJ151553.1
BGC0000647,carotenoid,S71770.1
BGC0000648,carotenoid,Z21955.2
BGC0000649,carotenoid,AF272737.1
BGC0000650,carotenoid,DQ286432.1
BGC0000651,KS-505a,AB307968.1
BGC0000652,napyradiomycin,EF397639.1
BGC0000653,pentalenolactone,HQ292065.1
BGC0000654,phenalinolactone A,DQ230532.1
BGC0000655,siomycin,FJ436355.1
BGC0000656,zeaxanthin,AF408848.1
BGC0000657,2-methylisoborneol,HQ830028.1
BGC0000658,2-methylisoborneol,AP009493.1
BGC0000659,2-methylisoborneol,AM420293.1
BGC0000660,albaflavenone,AL645882.2
BGC0000661,geosmin,CP001037.1
BGC0000662,grixazone A,AP009493.1
BGC0000663,hopene,AL645882.2
BGC0000664,isorenieratene,AP009493.1
BGC0000665,xiamycin,HE815466.1
BGC0000666,xiamycin A,JQ812811.1
BGC0000667,PR-toxin,HG792016.1
BGC0000668,12-epi-hapalindole C isonitrile|12-epi-hapalindole E|12-epi-fischerindole U isonitrile|fischerindole L|12-epi-fischerindole I isonitrile|welwitindolinone A isonitrile|welwitindolinone B isothiocyanate|welwitindolinone C isothiocyanate|N-methylwelwitindolinone C isothiocyanate|N-methylwelwitinsolinone C isonitrile|3-epi-welwitindolinone B isothiocyanate|3-(Z-2'-isocyanoethenyl)-indole,KF811479.1
BGC0000669,marneral,NC_003076.8
BGC0000670,thalianol|thaliandiol,NC_003076.8
BGC0000671,momilactone,AP008210.2
BGC0000672,phytocassane|oryzalides,AP008208.2
BGC0000673,"pimara-8(14),15-diene",BN001307.1
BGC0000674,(-)-δ-cadinene,DS570637.1
BGC0000675,(+)-T-muurolol,DS570654.1
BGC0000676,aphidicolin|aphidicolan-16β-ol|3-deoxyaphidicolin|17-deoxyaphidicolin,AB114137.1
BGC0000677,cyclooctatin,AB448947.1
BGC0000678,pentalenolactone,BA000030.3
BGC0000679,diazepinomicin,KK037233.1
BGC0000680,austinol|dehydroaustinol,BN001305.1
BGC0000682,terretonin,CH476609.1
BGC0000683,avermitilol,BA000030.3
BGC0000684,asperthecin,BN001301.1
BGC0000685,brassicicene C,ACIW01000469.1
BGC0000686,helvolic acid,CM000172.1
BGC0000687,phyllocladan-16α-ol,AB254158.1
BGC0000688,copalyl diphosphate,AB254160.1
BGC0000689,2-deoxystreptamine,AJ575934.3
BGC0000690,hydroxystreptomycin,AJ006985.1
BGC0000691,acarbose,Y18523.4
BGC0000692,apramycin,AJ875019.1
BGC0000693,butirosin A|butirosin B,AB097196.1
BGC0000694,butirosin,AJ781030.2
BGC0000695,fortimicin,AJ628421.2
BGC0000696,gentamicin,AJ628149.4
BGC0000697,gentamicin,AY524043.1
BGC0000698,hygromycin A,DQ314862.1
BGC0000699,hygromycin A,AJ628642.1
BGC0000700,istamycin,AJ845083.2
BGC0000701,jinggangmycin,DQ160226.1
BGC0000702,kanamycin,AB164642.1
BGC0000703,kanamycin,CP023699.1
BGC0000704,kanamycin,AJ582817.3
BGC0000705,kanamycin,AJ628422.2
BGC0000706,kanamycin,AB254081.1
BGC0000707,kasugamycin,AB005901.1
BGC0000708,lividomycin,AJ748832.1
BGC0000709,neomycin,AJ629247.1
BGC0000710,neomycin,AJ786317.1
BGC0000711,neomycin,AJ843080.1
BGC0000712,paromomycin,AJ628955.2
BGC0000713,ribostamycin,AJ748131.1
BGC0000714,sisomicin,FJ160413.1
BGC0000715,actinospectacin,EU255259.1
BGC0000716,spectinomycin,U70376.2
BGC0000717,streptomycin,AJ862840.1
BGC0000718,streptomycin,Y08763.1
BGC0000719,tobramycin,AB103327.1
BGC0000720,tobramycin,AJ579650.1
BGC0000721,tobramycin,AJ810851.1
BGC0000722,validamycin A,DQ164098.1
BGC0000723,validamycin A,DQ223652.1
BGC0000724,streptomycin,AP009493.1
BGC0000725,alginate,AE004091.2
BGC0000726,alginate,AY279078.1
BGC0000727,indigoidine,FJ479754.1
BGC0000728,capsular polysaccharide,AB289645.1
BGC0000729,capsular polysaccharide,AB289646.1
BGC0000730,capsular polysaccharide,AB289647.1
BGC0000731,capsular polysaccharide,AB289648.1
BGC0000732,capsular polysaccharide,AB289649.1
BGC0000733,capsular polysaccharide,AB289650.1
BGC0000734,capsular polysaccharide,AF067175.2
BGC0000735,capsular polysaccharide,AF169324.1
BGC0000736,capsular polysaccharide,AF170495.1
BGC0000737,capsular polysaccharide,AF302465.1
BGC0000738,capsular polysaccharide,AF302466.1
BGC0000739,capsular polysaccharide,AF302467.1
BGC0000740,capsular polysaccharide,AF332893.1
BGC0000741,capsular polysaccharide,AF332896.1
BGC0000742,capsular polysaccharide,AF332901.1
BGC0000743,capsular polysaccharide,AF332902.1
BGC0000744,capsular polysaccharide,AF363055.1
BGC0000745,capsular polysaccharide,AF363056.1
BGC0000746,capsular polysaccharide,AF363057.1
BGC0000747,capsular polysaccharide,AF363058.1
BGC0000748,capsular polysaccharide,AF363059.1
BGC0000749,capsular polysaccharide,AF503612.1
BGC0000750,capsular polysaccharide,AY357726.1
BGC0000751,capsular polysaccharide,AY496881.1
BGC0000752,capsular polysaccharide,AY534316.1
BGC0000753,capsular polysaccharide,AY534317.1
BGC0000754,capsular polysaccharide,FJ965540.1
BGC0000755,capsular polysaccharide,FJ965541.1
BGC0000756,capsular polysaccharide,FJ965542.1
BGC0000757,capsular polysaccharide,FJ965543.1
BGC0000758,capsular polysaccharide,U10927.2
BGC0000759,diutan polysaccharide,EU026118.1
BGC0000760,emulsan,AJ243431.1
BGC0000761,exopolysaccharide,AB062506.2
BGC0000762,exopolysaccharide,AF028810.2
BGC0000763,stewartan,AF077292.2
BGC0000764,exopolysaccharide,AY741550.2
BGC0000765,exopolysaccharide,EF138833.1
BGC0000766,exopolysaccharide,EF138834.1
BGC0000767,exopolysaccharide,EF138835.1
BGC0000768,gellan polysaccharide,AY217008.1
BGC0000769,glycopeptidolipid,AY130970.1
BGC0000770,lipo-oligosaccharide,AY297047.1
BGC0000771,lipo-oligosaccharide,AY644679.1
BGC0000772,lipopolysaccharide,AF047478.1
BGC0000773,lipopolysaccharide,AF125322.1
BGC0000774,lipopolysaccharide,AF204145.1
BGC0000775,lipopolysaccharide,AJ007311.1
BGC0000776,lipopolysaccharide,AJ426044.2
BGC0000777,lipopolysaccharide,AJ426045.2
BGC0000778,lipopolysaccharide,EU296246.1
BGC0000779,lipopolysaccharide,EU296247.1
BGC0000780,O&K-antigen,AB353134.1
BGC0000781,O-antigen,AF035937.1
BGC0000782,O-antigen,AF064070.1
BGC0000783,O-antigen,AF337647.3
BGC0000784,O-antigen,AF498400.1
BGC0000785,O-antigen,AY028370.1
BGC0000786,O-antigen,AY057452.2
BGC0000787,O-antigen,AY493508.1
BGC0000788,O-antigen,AY730594.1
BGC0000789,O-antigen,DQ220292.1
BGC0000790,O-antigen,EF027106.1
BGC0000791,O-antigen,EU076545.1
BGC0000792,polysaccharide,AF071085.1
BGC0000793,lipopolysaccharide oligosaccharide,AF511116.1
BGC0000794,S-layer glycan,AF328862.2
BGC0000795,S-layer glycan,AY442352.1
BGC0000796,S-layer glycan,HM011508.1
BGC0000797,sphingan polysaccharide,U51197.1
BGC0000798,dhurrin,CM000760.1
BGC0000799,colanic acid,U38473.1
BGC0000800,xanthan,U22511.1
BGC0000801,galactoglucan,Z79692.1
BGC0000802,succinoglycan,AJ225561.1
BGC0000803,GG exopolysaccharide,FJ428614.1
BGC0000804,acarviostatin I03|acarviostatin II03|acarviostatin III03|acarviostatin IV03,AHGS01000039.1
BGC0000805,moenomycin,DQ988993.1
BGC0000806,phosphonoglycans,KJ125437.1
BGC0000807,phosphonoglycans,CP001778.1
BGC0000808,cepacian,CP000869.1
BGC0000809,AT2433-A1,DQ297453.1
BGC0000810,benzoxazinone DIMBOA,CM000780.3
BGC0000811,fumigaclavine C,AAHF01000001.1
BGC0000812,huperzine A,KF915812.1
BGC0000813,K-252a,DQ399653.1
BGC0000814,K-252a,FJ031030.1
BGC0000815,loline|N-acetylnorloline|N-formylloline,AY723749.1
BGC0000816,malbrancheamide A,JQ708193.1
BGC0000817,methylarcyriarubin,KF551863.1
BGC0000818,notoamide A,JQ708194.1
BGC0000819,paraherquamide,JQ708195.1
BGC0000820,physostigmine,KF201694.1
BGC0000821,rebeccamycin,AB090952.1
BGC0000822,rebeccamycin,AJ414559.1
BGC0000823,rebeccamycin,AB071405.1
BGC0000824,scytonemin,CP001037.1
BGC0000825,staurosporine,AB088119.1
BGC0000826,staurosporine,CM000914.1
BGC0000827,staurosporine,CP000850.1
BGC0000828,violacein,AB032799.1
BGC0000829,violacein,AF172851.1
BGC0000830,violacein,AF367409.1
BGC0000831,violacein,GQ266676.1
BGC0000832,clorobiocin,AF329398.1
BGC0000833,coumermycin A1,AF235050.4
BGC0000834,cathomycin,AF170880.4
BGC0000835,simocyclinone,AF321122.1
BGC0000836,APE Ec,AE014075.1
BGC0000837,APE Vf,CP000020.2
BGC0000838,flexirubin,CP000685.1
BGC0000839,flexirubin,CP001699.1
BGC0000840,xanthomonadin I,AY010120.2
BGC0000841,alanylclavam|2-hydroxymethylclavam|2-formyloxymethylclavam|clavam-2-carboxylate|clavulanic acid,CM000914.1
BGC0000842,carbapenem MM4550,KF042303.1
BGC0000843,alanylclavam|2-hydroxymethylclavam|2-formyloxymethylclavam|clavam-2-carboxylate,CM000913.1
BGC0000844,clavulanic acid,AY258009.2
BGC0000845,clavulanic acid,DS570624.1
BGC0000846,tabtoxin,DQ187985.1
BGC0000847,thienamycin,AJ421798.1
BGC0000848,A-factor,AP009493.1
BGC0000849,SCB1|SCB2|SCB3,AL645882.2
BGC0000850,γ-butyrolactone,FJ821515.1
BGC0000851,albonoursin,AY129235.1
BGC0000852,ectoine,AF316874.1
BGC0000853,ectoine,AY524544.1
BGC0000854,ectoine,DQ016501.2
BGC0000855,ectoine,DQ238213.1
BGC0000856,ectoine,EU315062.1
BGC0000857,ectoine,EU315063.1
BGC0000858,ectoine,EU523734.1
BGC0000859,ectoine,EU523735.1
BGC0000860,ectoine,GU249592.1
BGC0000861,eicosapentaenoic acid,EU719604.1
BGC0000862,eicosapentaenoic acid,U73935.1
BGC0000863,eicosapentaenoic acid,DQ469875.1
BGC0000864,eicosapentaenoic acid-like compound,AB025342.2
BGC0000865,eicoseicosapentaenoic acid,AF409100.1
BGC0000866,polyhydroxyalkanoate,AF153086.1
BGC0000867,polyhydroxyalkanoic acids,AF307334.1
BGC0000868,teichuronic acid,AF015609.1
BGC0000869,heterocyst glycolipids,KC489223.1
BGC0000870,mycolic acid,AL123456.3
BGC0000871,VEPE|AEPE|TG-1,CP000113.1
BGC0000872,A-90289 A|A-90289 B,AB530986.1
BGC0000873,A-201A,X84374.3
BGC0000874,blasticidin S,AY196214.1
BGC0000875,caprazamycin|caprazamycin aglycon,FJ490409.1
BGC0000876,neopolyoxin C,AJ250581.1
BGC0000877,polyoxin A|polyoxin H,EU158805.1
BGC0000878,puromycin,X92429.1
BGC0000879,toyocamycin|sangivamycin,EU573979.1
BGC0000880,tunicamycin B1,HQ172897.1
BGC0000881,toyocamycin,JX576291.1
BGC0000882,mildiomycin,JN999998.1
BGC0000883,arginomycin,KC181124.1
BGC0000884,3-methylarginine,FJ788104.1
BGC0000885,4-hydroxy-3-nitrosobenzamide,AB530136.1
BGC0000886,allylmalonyl-CoA,GU067679.1
BGC0000887,saxitoxin|gonyautoxin 2|gonyautoxin 3|toxin C2|toxin C3|gonyautoxin 5|decarbamoylsaxitoxin|decarbamoylgonyautoxin 2|decarbamoylgonyautoxin 3,DQ787201.1
BGC0000888,bacilysin,GQ889493.1
BGC0000889,bagremycin A|bagremycin B,AB689797.1
BGC0000890,pentabromopseudilin,KF540211.1
BGC0000891,pentabromopseudilin,AUSV01000133.1
BGC0000892,caryoynencin,CP002599.1
BGC0000893,chloramphenicol,FR845719.1
BGC0000894,citrinin,EU309474.1
BGC0000895,citrulline,X99978.2
BGC0000896,cycloserine,AB516431.1
BGC0000897,dehydrophos,GU199252.1
BGC0000898,desosamine|pikromycin|neomethymycin|narbomycin,AF079762.1
BGC0000899,desosamine,AF521878.1
BGC0000900,ferrichrome,BD306272.1
BGC0000901,ferrichrome,DJ389528.1
BGC0000902,flaviolin,AM420293.1
BGC0000903,fluorometabolite,AM055586.1
BGC0000904,FR-900098,DQ267750.1
BGC0000905,heme D1,EU052681.1
BGC0000906,heme D1,EU068732.1
BGC0000907,lincomycin,EU124663.1
BGC0000908,melanin,AB070938.1
BGC0000909,melanin,AB070939.1
BGC0000910,melanin,AL645882.2
BGC0000911,melanin,AP009493.1
BGC0000912,melanin,AP009493.1
BGC0000913,MK-8,EU606203.1
BGC0000914,methylenomycin A,AL589148.1
BGC0000915,mitomycin,AF127374.2
BGC0000916,molybdenum cofactor,AF109295.1
BGC0000917,molybdenum cofactor,AF128444.1
BGC0000918,ochronotic pigment,AB070935.1
BGC0000919,phaseolotoxin,U27310.1
BGC0000920,polyhydroxyalkanoates,DQ486135.1
BGC0000921,promysalin,GU211010.1
BGC0000922,pseudomonas quinolone signal (PQS),AE004091.2
BGC0000923,paerucumarin,AF002222.1
BGC0000924,pyrrolnitrin,EU188755.1
BGC0000925,quinolobactin,AY271621.1
BGC0000926,rhizocticin A,FJ935779.1
BGC0000927,roseoflavin,HE971709.1
BGC0000928,T3 toxin,DQ787200.1
BGC0000929,xanthothricin,EF587764.1
BGC0000930,deoxynivalenol,AF336365.2
BGC0000931,trichothecene,AF336366.2
BGC0000932,tropodithietic acid|hydroxytropodithietic acid,CP002977.1
BGC0000933,xiamenmycin A,KF313919.1
BGC0000934,"5-acetyl-5,10-dihydrophenazine-1-carboxylic acid|5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid|endophenazine A1|endophenazine F|endophenazine G",KJ207079.1
BGC0000935,esmeraldin,JF417969.1
BGC0000936,pyocyanine,AF005404.2
BGC0000937,fosfazinomycin A|fosfazinomycin B,KF386865.1
BGC0000938,fosfomycin,EU924263.1
BGC0000939,aerobactin,AB199785.1
BGC0000940,desferrioxamin B|desferrioxamine E,AL645882.2
BGC0000941,desferrioxamin B,AP009493.1
BGC0000942,petrobactin,AE016879.1
BGC0000943,staphyloferrin B,LS483365.1
BGC0000944,staphyloferrin A,CP000253.1
BGC0000945,vibriobactin,AE003852.1
BGC0000946,vibrioferrin,AB082123.1
BGC0000947,vibrioferrin,DQ201184.2
BGC0000948,α-galactosylceramide,CR626927.1
BGC0000949,A-500359 A|A-500359 B,AB476988.1
BGC0000950,napsamycin A|napsamycin B|napsamycin C|napsamycin D|mureidomycin A|mureidomycin B,HQ287563.1
BGC0000951,pacidamycin 1|pacidamycin 2|pacidamycin 3|pacidamycin 4|pacidamycin 5|pacidamycin 6|pacidamycin 7|pacidamycin D,HM855229.1
BGC0000952,pristinamycin,FR681999.1
BGC0000953,amicetin,HM748814.1
BGC0000954,ajudazol A,AM946600.1
BGC0000955,althiomycin,FR831800.1
BGC0000956,andrimid,AY192157.1
BGC0000957,mycotrienin I,KF813023.1
BGC0000958,antimycin,NZ_FR873698.1
BGC0000959,aspyridone A|aspyridone B,BN001305.1
BGC0000960,azinomycin B,EU240558.1
BGC0000961,bactobolin,CP000085.1
BGC0000962,barbamide,AF516145.1
BGC0000963,bleomycin,AF210249.1
BGC0000964,burkholdac A|burkholdac B,CP000086.1
BGC0000965,C-1027,AY048670.1
BGC0000966,caerulomycin A,JF419316.2
BGC0000967,calyculin A|phosphocalyculin A|calyculinamide A|dephosphonocalyculin A,AB933566.1
BGC0000968,chaetoglobosin A|chaetoglobosin C,AM779763.1
BGC0000969,chondramide A,AM179409.1
BGC0000970,chondrochloren A,AM988861.1
BGC0000971,cinnabaramide A,FR687018.1
BGC0000972,N-myristoyl-D-asparagine|cis-7-tetradecenoyl-D-asparagine|(R)-N1-((S)-5-oxohexan-2-yl)-2-tetradecanamidosuccinamide,AM229678.1
BGC0000973,collismycin A,HE575208.1
BGC0000974,crocacin,FN547928.1
BGC0000975,cryptophycin-327,EF159954.1
BGC0000976,curacin A,HQ696500.1
BGC0000977,cyclopiazonic acid,AB506492.1
BGC0000978,cylindrospermopsin,EU140798.1
BGC0000979,cylindrospermopsin,GQ385959.1
BGC0000980,cylindrospermopsin,GQ385960.1
BGC0000981,cylindrospermopsin,GQ385961.1
BGC0000982,cystothiazole A,AY834753.1
BGC0000983,cytochalasin E|cytochalasin K,DS027057.1
BGC0000984,delftibactin A|delftibactin B,CP000884.1
BGC0000985,didemnin B|nordidemnin B|dehydrodidemnin B (aplidine)|didemnin X|didemnin Y,CP003239.1
BGC0000986,dkxanthene 530|dkxanthene 556|dkxanthene|dkxanthene 504|dkxanthene 508|dkxanthene 518|dkxanthene 520|dkxanthene 534|dkxanthene 544|dkxanthene 548|dkxanthene 560|dkxanthene 574|dkxanthene 586,BN001209.1
BGC0000988,epothilone B,AF210843.1
BGC0000989,epothilone,EU414841.1
BGC0000990,epothilone,GU063811.1
BGC0000991,epothilone,AF217189.1
BGC0000992,"fusaridione A|(3R,5S)-5-(4-hydroxybenzyl)-3-methyl-3-((2E,4E,6E,8E,10E)-4,8,10-trimethyldodeca-2,4,6,8,10-pentaenoyl)pyrrolidine-2,4-dione",AY700570.3
BGC0000993,FR901228,EF210776.1
BGC0000994,FR-900520,AF235504.1
BGC0000995,FR901464,HM047288.1
BGC0000996,frontalamide B|frontalamide A,GG657742.1
BGC0000997,glidobactin|glidobactin B|glidobactin C,AM412319.1
BGC0000998,guadinomine|guadinomine B|guadinomic acid,JX545234.1
BGC0000999,heat-stable antifungal factor,EF028635.2
BGC0001000,hectochlorin,AY974560.1
BGC0001001,jamaicamide A|jamaicamide B|jamaicamide C,AY522504.1
BGC0001002,jawsamycin,AB920328.1
BGC0001003,α-lipomycin,DQ176871.1
BGC0001004,lobophorin B,KC013978.1
BGC0001005,locillomycin|locillomycin B|locillomycin C,KF866134.1
BGC0001006,lymphostin|neolymphostinol B|lymphostinol|neolymphostin B,CP000667.1
BGC0001007,lymphostin|neolymphostinol B|lymphostinol|neolymphostin b,CP000850.1
BGC0001008,maduropeptin,AY271660.2
BGC0001009,melithiazol A,AJ557546.1
BGC0001010,melithiazol A,AJ557546.1
BGC0001011,meridamycin,DQ351275.1
BGC0001012,meridamycin,DQ885223.1
BGC0001013,meridamycin,DL080157.1
BGC0001014,micacocidin,AL646052.1
BGC0001015,microcystin,AJ441056.1
BGC0001016,microcystin,AY212249.1
BGC0001017,microcystin LR,AF183408.1
BGC0001018,micropeptin K139,AB481215.1
BGC0001019,microsclerodermin M,KF657738.1
BGC0001020,muraymycin C1,HQ257512.1
BGC0001021,mycobactin,AL123456.3
BGC0001022,myxalamid|myxalamid A|myxalamid C|myxalamid D,AF319998.1
BGC0001023,myxochromide S1,AJ698723.2
BGC0001024,myxothiazol,AF188287.1
BGC0001025,myxovirescin A1,CP000113.1
BGC0001026,NG-391,GQ176852.1
BGC0001027,nocobactin NA|nocobactin NA 10152B,AP006618.1
BGC0001028,nostopeptolide A2,AF204805.2
BGC0001029,nostophycin,JF430079.1
BGC0001030,ochratoxin A,MG701895.1
BGC0001031,oocydin A,JX315603.1
BGC0001032,oocydin A,JX315604.1
BGC0001033,paenilamicin|paenilamicin A2|paenilamicin B1|paenilamicin B2,CP003355.1
BGC0001034,pellasoren|pellasoren B,HE616533.1
BGC0001035,pneumocandin B0|pneumocandin A0,KE145356.1
BGC0001036,polyoxypeptin,KF386858.1
BGC0001037,pseurotin|azaspirene,CM000176.1
BGC0001038,pyralomicin 1a,JX424761.1
BGC0001039,pyridomycin,HM436809.1
BGC0001040,rapamycin,X86780.1
BGC0001041,salinosporamide A,CP000667.1
BGC0001042,sanglifehrin A,FJ809786.1
BGC0001043,SGR PTMs|SGR PTM Compound b|SGR PTM Compound c|SGR PTM Compound d,AP009493.1
BGC0001044,sirodesmin PL,AY553235.1
BGC0001045,spiruchostatin A,JQ045344.1
BGC0001046,streptolydigin,FN433113.1
BGC0001047,syringolin A,AJ548826.1
BGC0001048,tallysomycin A|tallysomycin B,EF032505.1
BGC0001049,tenellin,AM409327.1
BGC0001050,thalassospiramide A,KC181865.1
BGC0001051,thuggacin A,GQ981380.1
BGC0001052,tirandamycin,GU385216.1
BGC0001053,tubulysin A,AJ620477.1
BGC0001054,xenocoumacin 1|xenocoumacin II,FN667742.1
BGC0001055,yersiniabactin,AM236324.1
BGC0001056,zeamine|zeamine I|zeamine II|prezeamine|prezeamine I,HE995400.1
BGC0001057,zearalenone,DQ019316.1
BGC0001058,zorbamycin,EU670723.1
BGC0001059,zwittermicin A,FJ430564.1
BGC0001060,dynemicin A,EF552206.1
BGC0001061,polyketomycin,FJ483966.1
BGC0001062,TLN-05220,FJ915123.1
BGC0001063,undecylprodigiosin,AL645882.2
BGC0001064,cylindrocyclophane D|cylindrocyclophane E|cylindrocyclophane F,JX477167.1
BGC0001065,herboxidiene,JN671974.1
BGC0001066,kendomycin,AM992894.1
BGC0001067,fumagillin|β-trans-bergamotene|fumagillol,CM000176.1
BGC0001068,pyripyropene A,FW556769.1
BGC0001069,chivosazol,DQ065771.1
BGC0001070,kirromycin,AM746336.1
BGC0001071,nosperin,GQ979609.2
BGC0001072,simocyclinone D8,AF324838.2
BGC0001073,kosinostatin,JN038178.1
BGC0001074,cosmomycin D,JJOH01000002.1
BGC0001075,aurachin RE,AB694012.1
BGC0001076,liposidomycin B|liposidomycin A|liposidomycin C|liposidomycin Z|liposidomycin H|liposidomycin G|liposidomycin L|liposidomycin M|liposidomycin K|liposidomycin N,GU219978.1
BGC0001077,alkyl-O-dihydrogeranyl-methoxyhydroquinones,AP012319.1
BGC0001078,furaquinocin B,AB212624.1
BGC0001079,napyradiomycin A80915C|napyradiomycin 2|napyradiomycin 3|napyradiomycin 4,EF397638.1
BGC0001080,endophenazine A|endophenazine B,FN178498.1
BGC0001081,lolitrem F,AY742903.1
BGC0001082,paxilline|paspaline|13-dehydroxypaxilline|paspaline B,HM171111.1
BGC0001083,merochlorin A|merochlorin B|deschloro-merochlorin A|deschloro-merochlorin B|isochloro-merochlorin B|dichloro-merochlorin B|merochlorin D|merochlorin C,JX186999.1
BGC0001084,notoamide A,HM622670.1
BGC0001085,teleocidin B1,AB937114.1
BGC0001086,astaxanthin dideoxyglycoside,KF724895.1
BGC0001087,sioxanthin,CP000667.1
BGC0001088,albicidin,AJ586576.1
BGC0001089,bacillaene,AJ634060.2
BGC0001090,bacillomycin D,CP000560.1
